epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4021,1.01917,2.9687,1.01236,0.08,0.99346,0.24325,0.16973,0.86573,2.8666,0.89642,0.00016,0.00016,0.00016
2,15.7363,0.91865,1.32265,0.90547,0.85777,0.38103,0.81103,0.52956,1.00881,2.08323,0.89119,0.00030634,0.00030634,0.00030634
3,20.5916,0.8818,0.77615,0.92071,0.94245,0.75817,0.93533,0.69513,0.90203,1.48949,0.86439,0.00041704,0.00041704,0.00041704
4,24.8341,0.84984,0.70806,0.89166,0.95598,0.92593,0.97841,0.72999,0.8991,1.34666,0.85967,0.0004921,0.0004921,0.0004921
5,29.3478,0.84784,0.65259,0.89775,0.94992,0.95046,0.97474,0.73264,0.84948,1.2986,0.85419,0.00053152,0.00053152,0.00053152
6,34.2394,0.82656,0.60729,0.89364,0.96058,0.9556,0.98354,0.74892,0.87076,1.15557,0.86278,0.0005353,0.0005353,0.0005353
7,38.1668,0.80469,0.59369,0.8814,0.97547,0.98257,0.98246,0.76594,0.79788,1.02186,0.84795,0.00050344,0.00050344,0.00050344
8,42.1034,0.78984,0.56871,0.88158,0.97585,0.96831,0.99014,0.78474,0.80053,0.94155,0.85774,0.00043594,0.00043594,0.00043594
9,47.5017,0.75769,0.5368,0.88204,0.97327,0.97386,0.99058,0.78575,0.77757,0.82965,0.85162,0.0003328,0.0003328,0.0003328
10,51.5658,0.7522,0.51497,0.86967,0.97046,0.98911,0.99049,0.79393,0.76736,0.7161,0.84991,0.00019402,0.00019402,0.00019402
